agency,location,project_title,year,project_link,award_status,file_type,latitude,longitude,formatted_address,place_id,types,street_number,route,locality,sublocality,administrative_area_level_1,administrative_area_level_2,country,postal_code
Lauderhill Police Department,"Florida, USA",Mission Lake Plaza,1996,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1996/96-25(F).pdf,Submission,pdf,26.1654054,-80.233962,"6279 W Oakland Park Blvd, Lauderhill, FL 33313, USA",ChIJWxHvbmIG2YgRFYQxcxSorgU,"establishment,point_of_interest,police",6279,West Oakland Park Boulevard,Lauderhill,,Florida,Broward County,United States,33313
Lee's Summit Police Department,"Missouri, USA",Miller Park Center Project Merging POP with the Schools and the Mental Health Community,2011,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2011/11-57.pdf,Submission,pdf,38.912038,-94.379024,"207 SW Market St, Lee's Summit, MO 64063, USA",ChIJy6HWdPMfwYcRgkm-4vzgso0,"establishment,point_of_interest,police",207,Southwest Market Street,Lee's Summit,,Missouri,Jackson County,United States,64063
Leicestershire Constabulary,United Kingdom,Northfields Project,1999,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1999/99-32.pdf,Submission,pdf,55.378051,-3.435973,United Kingdom,ChIJqZHHQhE7WgIReiWIMkOg-MQ,"country,political",,,,,,,United Kingdom,
Leicestershire Constabulary,United Kingdom,Northfields Project,1998,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1998/98-37.pdf,Submission,pdf,55.378051,-3.435973,United Kingdom,ChIJqZHHQhE7WgIReiWIMkOg-MQ,"country,political",,,,,,,United Kingdom,
Lexington Division of Police,"Kentucky, USA",Community Law Enforcement Action and Response Program,2009,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2009/09-21.pdf,Submission,pdf,38.0405837,-84.5037164,"Lexington, KY, USA",ChIJJeuczClEQogR3U-MkEGD8IQ,"locality,political",,,Lexington,,Kentucky,Fayette County,United States,
Lima Police Department,"Ohio, USA","Reducing Crime and Disorder in Lima, Ohio Utilizing PinPoint Patrolling",2010,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2010/10-31.pdf,Submission,pdf,40.7402058,-84.1037899,"117 E Market St, Lima, OH 45801, USA",ChIJZUxaqQnyPogRA8-vsL17DZs,"establishment,point_of_interest,police",117,East Market Street,Lima,,Ohio,Allen County,United States,45801
Lincoln Police Department,"Nebraska, USA",Restoring Quality of Life to Neighborhoods under Seige,2009,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2009/09-54.pdf,Submission,pdf,40.808095,-96.707751,"575 S 10th St, Lincoln, NE 68508, USA",ChIJnQzLyx-_locRS1gS44tRpZ4,"establishment,point_of_interest,police",575,South 10th Street,Lincoln,,Nebraska,Lancaster County,United States,68508
Littleton Police Department,"Colorado, USA",Deluxe Trailer Park Problem Solving Project,2002,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2002/02-21.pdf,Submission,pdf,39.6177566,-105.0134687,"2255 W Berry Ave, Littleton, CO 80120, USA",ChIJEbZHODSAbIcRP1EE7DqKwH8,"establishment,point_of_interest,police",2255,West Berry Avenue,Littleton,,Colorado,Arapahoe County,United States,80120
London Borough of Enfield,"London, United Kingdom",The Fresh Start Program,2002,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2002/02-22.pdf,Submission,pdf,51.6522983,-0.0806995,"London Borough of Enfield, UK",ChIJ7Y9uo9MYdkgRgGnsoi2uDgQ,"administrative_area_level_3,political",,,,,England,Greater London,United Kingdom,
London Borough of Enfield,"London, United Kingdom",Mental Evaluation Team,1999,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1999/99-33.pdf,Submission,pdf,51.6522983,-0.0806995,"London Borough of Enfield, UK",ChIJ7Y9uo9MYdkgRgGnsoi2uDgQ,"administrative_area_level_3,political",,,,,England,Greater London,United Kingdom,
London Borough of Enfield,"London, United Kingdom",AntiGraffiti Program,1995,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1995/95-39.pdf,Submission,pdf,51.6522983,-0.0806995,"London Borough of Enfield, UK",ChIJ7Y9uo9MYdkgRgGnsoi2uDgQ,"administrative_area_level_3,political",,,,,England,Greater London,United Kingdom,
Longmont Police Department,"Colorado, USA",Stonehedge Place Apartment Complex,2002,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2002/02-23.pdf,Submission,pdf,40.1631049,-105.1011372,"225 Kimbark St, Longmont, CO 80501, USA",ChIJhTLmYQD5a4cRa2O37xV6Ll0,"establishment,point_of_interest",225,Kimbark Street,Longmont,,Colorado,Boulder County,United States,80501
Longmont Police Department,"Colorado, USA",Main Street Crime Watch Project,2000,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2000/00-15.pdf,Submission,pdf,40.1631049,-105.1011372,"225 Kimbark St, Longmont, CO 80501, USA",ChIJhTLmYQD5a4cRa2O37xV6Ll0,"establishment,point_of_interest",225,Kimbark Street,Longmont,,Colorado,Boulder County,United States,80501
Los Angeles County Sheriff's Department,"California, USA",Countywide Nuisance Abatement Team,2011,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2011/11-12.pdf,Submission,pdf,34.3871821,-118.1122679,"Los Angeles County, CA, USA",ChIJMc1kAdMq3YARKjm9z9YofYM,"administrative_area_level_2,political",,,,,California,Los Angeles County,United States,
Los Angeles County Sheriff's Department,"California, USA",Reducing Crime in the Maravilla Public Housing Site Summary,2011,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2011/11-61.pdf,Submission,pdf,34.3871821,-118.1122679,"Los Angeles County, CA, USA",ChIJMc1kAdMq3YARKjm9z9YofYM,"administrative_area_level_2,political",,,,,California,Los Angeles County,United States,
Los Angeles County Sheriff's Department,"California, USA",Antelope Valley Crime Fighting Initiative,2010,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2010/10-02.pdf,Submission,pdf,34.3871821,-118.1122679,"Los Angeles County, CA, USA",ChIJMc1kAdMq3YARKjm9z9YofYM,"administrative_area_level_2,political",,,,,California,Los Angeles County,United States,
Los Angeles County Sheriff's Department,"California, USA",Street Prostitution: Viable Solutions to Solving the Problem,2002,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2002/02-24.pdf,Submission,pdf,34.3871821,-118.1122679,"Los Angeles County, CA, USA",ChIJMc1kAdMq3YARKjm9z9YofYM,"administrative_area_level_2,political",,,,,California,Los Angeles County,United States,
Los Angeles County Sheriff's Department,"California, USA",Core Task Force and Abatement Tracking System,2002,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2002/02-25.pdf,Submission,pdf,34.3871821,-118.1122679,"Los Angeles County, CA, USA",ChIJMc1kAdMq3YARKjm9z9YofYM,"administrative_area_level_2,political",,,,,California,Los Angeles County,United States,
Los Angeles County Sheriff's Department,"California, USA",59th Place Street Project,1997,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1997/97-35.pdf,Submission,pdf,34.3871821,-118.1122679,"Los Angeles County, CA, USA",ChIJMc1kAdMq3YARKjm9z9YofYM,"administrative_area_level_2,political",,,,,California,Los Angeles County,United States,
Los Angeles County Sheriff's Department,"California, USA",Newton Area and FALCONs Hooper Block Project,1997,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1997/97-37.pdf,Submission,pdf,34.3871821,-118.1122679,"Los Angeles County, CA, USA",ChIJMc1kAdMq3YARKjm9z9YofYM,"administrative_area_level_2,political",,,,,California,Los Angeles County,United States,
Los Angeles County Sheriff's Department,"California, USA",1100 Block 59th Place  Narcotics Sales,1997,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1997/97-38.pdf,Submission,pdf,34.3871821,-118.1122679,"Los Angeles County, CA, USA",ChIJMc1kAdMq3YARKjm9z9YofYM,"administrative_area_level_2,political",,,,,California,Los Angeles County,United States,
Los Angeles County Sheriff's Department,"California, USA",Operation Outreach,1996,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1996/96-26.pdf,Submission,pdf,34.3871821,-118.1122679,"Los Angeles County, CA, USA",ChIJMc1kAdMq3YARKjm9z9YofYM,"administrative_area_level_2,political",,,,,California,Los Angeles County,United States,
Los Angeles County Sheriff's Department,"California, USA",Clean and Safe City Task Force,1996,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1996/96-27.pdf,Submission,pdf,34.3871821,-118.1122679,"Los Angeles County, CA, USA",ChIJMc1kAdMq3YARKjm9z9YofYM,"administrative_area_level_2,political",,,,,California,Los Angeles County,United States,
Los Angeles Police Department,"California, USA",A Model for Large Metropolitan Police Agencies in Efficiently and Productively Addressing Street Level Violent Crime,2009,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2009/09-24.pdf,Submission,pdf,34.0549076,-118.242643,"Los Angeles, CA, USA",ChIJE9on3F3HwoAR9AhGJW_fL-I,"locality,political",,,Los Angeles,,California,Los Angeles County,United States,
Los Angeles Police Department,"California, USA",San Fernando Valley Coalition on Gangs,2008,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2008/08-33.pdf,Submission,pdf,34.0549076,-118.242643,"Los Angeles, CA, USA",ChIJE9on3F3HwoAR9AhGJW_fL-I,"locality,political",,,Los Angeles,,California,Los Angeles County,United States,
Los Angeles Police Department,"California, USA",Volunteer Surveillance Team,2007,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2007/07-26.pdf,Submission,pdf,34.0549076,-118.242643,"Los Angeles, CA, USA",ChIJE9on3F3HwoAR9AhGJW_fL-I,"locality,political",,,Los Angeles,,California,Los Angeles County,United States,
Los Angeles Police Department,"California, USA",P.R.A.I.S.E. North Hollywood,2007,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2007/07-27.pdf,Submission,pdf,34.0549076,-118.242643,"Los Angeles, CA, USA",ChIJE9on3F3HwoAR9AhGJW_fL-I,"locality,political",,,Los Angeles,,California,Los Angeles County,United States,
Los Angeles Police Department,"California, USA",Devonshire Area PALS,2007,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2007/07-28.pdf,Submission,pdf,34.0549076,-118.242643,"Los Angeles, CA, USA",ChIJE9on3F3HwoAR9AhGJW_fL-I,"locality,political",,,Los Angeles,,California,Los Angeles County,United States,
Los Angeles Police Department,"California, USA",Barry White Park Project: Newton Crime Surveillance Team,2006,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2006/06-28.pdf,Submission,pdf,34.0549076,-118.242643,"Los Angeles, CA, USA",ChIJE9on3F3HwoAR9AhGJW_fL-I,"locality,political",,,Los Angeles,,California,Los Angeles County,United States,
Los Angeles Police Department,"California, USA",77th Street Narcotic Location Abatement Letter Program,2006,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2006/06-29.pdf,Submission,pdf,34.0549076,-118.242643,"Los Angeles, CA, USA",ChIJE9on3F3HwoAR9AhGJW_fL-I,"locality,political",,,Los Angeles,,California,Los Angeles County,United States,
Los Angeles Police Department,"California, USA",Operation ABC,2001,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2001/01-35.pdf,Submission,pdf,34.0549076,-118.242643,"Los Angeles, CA, USA",ChIJE9on3F3HwoAR9AhGJW_fL-I,"locality,political",,,Los Angeles,,California,Los Angeles County,United States,
Los Angeles Police Department,"California, USA",Field of Dreams: The Far East Wilmington Beautification Project,1999,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1999/99-34.pdf,Submission,pdf,34.0549076,-118.242643,"Los Angeles, CA, USA",ChIJE9on3F3HwoAR9AhGJW_fL-I,"locality,political",,,Los Angeles,,California,Los Angeles County,United States,
Los Angeles Police Department,"California, USA",Newton Area Career Criminal Unit,1999,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1999/99-35.pdf,Submission,pdf,34.0549076,-118.242643,"Los Angeles, CA, USA",ChIJE9on3F3HwoAR9AhGJW_fL-I,"locality,political",,,Los Angeles,,California,Los Angeles County,United States,
Los Angeles Police Department,"California, USA",West LA Area Cadillac/ Corning Neighborhood Project,1999,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1999/99-36.pdf,Submission,pdf,34.0549076,-118.242643,"Los Angeles, CA, USA",ChIJE9on3F3HwoAR9AhGJW_fL-I,"locality,political",,,Los Angeles,,California,Los Angeles County,United States,
Los Angeles Police Department,"California, USA",MacArthur Park Revitalization Project,1998,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1998/98-38.pdf,Submission,pdf,34.0549076,-118.242643,"Los Angeles, CA, USA",ChIJE9on3F3HwoAR9AhGJW_fL-I,"locality,political",,,Los Angeles,,California,Los Angeles County,United States,
Los Angeles Police Department,"California, USA",Hollywood Area Gang Crime Task Force,1998,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1998/98-39.pdf,Submission,pdf,34.0549076,-118.242643,"Los Angeles, CA, USA",ChIJE9on3F3HwoAR9AhGJW_fL-I,"locality,political",,,Los Angeles,,California,Los Angeles County,United States,
Los Angeles Police Department,"California, USA",Harbor Gateway Neighborhood Recovery Project,1997,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1997/97-36.pdf,Submission,pdf,34.0549076,-118.242643,"Los Angeles, CA, USA",ChIJE9on3F3HwoAR9AhGJW_fL-I,"locality,political",,,Los Angeles,,California,Los Angeles County,United States,
Los Angeles Police Department,"California, USA",Speeding in West Division,1996,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1996/96-28.pdf,Submission,pdf,34.0549076,-118.242643,"Los Angeles, CA, USA",ChIJE9on3F3HwoAR9AhGJW_fL-I,"locality,political",,,Los Angeles,,California,Los Angeles County,United States,
Los Angeles Police Department,"California, USA",Hollywood Area Domestic Violence,1996,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1996/96-29.pdf,Submission,pdf,34.0549076,-118.242643,"Los Angeles, CA, USA",ChIJE9on3F3HwoAR9AhGJW_fL-I,"locality,political",,,Los Angeles,,California,Los Angeles County,United States,
Los Angeles Police Department,"California, USA",Pacific Areas Oakwood Task Force,1995,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1995/95-40.pdf,Submission,pdf,34.0549076,-118.242643,"Los Angeles, CA, USA",ChIJE9on3F3HwoAR9AhGJW_fL-I,"locality,political",,,Los Angeles,,California,Los Angeles County,United States,
Los Angeles Police Department,"California, USA",Operation Sunrise,1995,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1995/95-41.pdf,Submission,pdf,34.0549076,-118.242643,"Los Angeles, CA, USA",ChIJE9on3F3HwoAR9AhGJW_fL-I,"locality,political",,,Los Angeles,,California,Los Angeles County,United States,
Los Angeles Police Department,"California, USA",Sunset Boulevard: Dead Mans Curve,1995,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1995/95-42.pdf,Submission,pdf,34.0549076,-118.242643,"Los Angeles, CA, USA",ChIJE9on3F3HwoAR9AhGJW_fL-I,"locality,political",,,Los Angeles,,California,Los Angeles County,United States,
Los Angeles Police Department,"California, USA",Virgil/Burns Area,1993,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1993/93-03(W).pdf,Submission,pdf,34.0549076,-118.242643,"Los Angeles, CA, USA",ChIJE9on3F3HwoAR9AhGJW_fL-I,"locality,political",,,Los Angeles,,California,Los Angeles County,United States,
Loudoun County Sheriff's Office,"Virginia, USA",Internet Safety: What Parents Need to Know,2013,https://popcenter.asu.edu/sites/default/files/13-28_loudon_county.pdf,Submission,pdf,39.0821716,-77.5535593,"803 Sycolin Rd # 301, Leesburg, VA 20175, USA",ChIJyZVy4SoWtokRkMJ0xfP6LGA,"establishment,local_government_office,point_of_interest,police",803,Sycolin Road,Leesburg,,Virginia,Loudoun County,United States,20175
Louisiana State Police,USA,East Baton Rouge Violent Crimes Unit,2011,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2011/11-20.pdf,Submission,pdf,30.5190775,-91.5208624,"Louisiana, USA",ChIJZYIRslSkIIYRA0flgTL3Vck,"administrative_area_level_1,political",,,,,Louisiana,,United States,
Louisville Division of Police,"Kentucky, USA",Crisis Intervention Team,2002,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2002/02-26.pdf,Submission,pdf,38.2526647,-85.7584557,"Louisville, KY, USA",ChIJEdVbsxoLaYgRMv1xICi009Q,"locality,political",,,Louisville,,Kentucky,Jefferson County,United States,
Louisville Division of Police,"Kentucky, USA",Gunrelated Violence,2001,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2001/01-36.pdf,Submission,pdf,38.2526647,-85.7584557,"Louisville, KY, USA",ChIJEdVbsxoLaYgRMv1xICi009Q,"locality,political",,,Louisville,,Kentucky,Jefferson County,United States,
Louisville Metro Police Department,"Kentucky, USA",22: Brownsboro Road Hazard Elimination,2006,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2006/06-30.pdf,Submission,pdf,38.2545195,-85.7618372,"633 W Jefferson St, Louisville, KY 40202, USA",ChIJq8DMJKRyaYgRObsbhfON-mE,"establishment,local_government_office,point_of_interest,police",633,West Jefferson Street,Louisville,,Kentucky,Jefferson County,United States,40202
Lowell Police Department,"Massachusetts, USA",Safety First,1999,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1999/99-37.pdf,Submission,pdf,42.6470411,-71.31351,"50 Arcand Dr, Lowell, MA 01852, USA",ChIJse1ry0Ck44kR5gxPdEEmXj4,"establishment,point_of_interest,police",50,Arcand Drive,Lowell,,Massachusetts,Middlesex County,United States,1852
Lowell Police Department,"Massachusetts, USA",Community Policing: Success in Lowell,1998,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1998/98-40.pdf,Submission,pdf,42.6470411,-71.31351,"50 Arcand Dr, Lowell, MA 01852, USA",ChIJse1ry0Ck44kR5gxPdEEmXj4,"establishment,point_of_interest,police",50,Arcand Drive,Lowell,,Massachusetts,Middlesex County,United States,1852
Lynchburg Police Department,"Virginia, USA",Environmental Response Unit,1996,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1996/96-30.pdf,Submission,pdf,37.4133298,-79.1444442,"Public Safety Building, West Building, 905 Court St, Lynchburg, VA 24504, USA",ChIJe2URvXLZsokRr7YUhJ9Xq1I,"establishment,point_of_interest,police",905,Court Street,Lynchburg,,Virginia,,United States,24504
Mansfield Police Department,"Massachusetts, USA",Station Pointe Domestic Violence Reduction Plan,2020,https://popcenter.asu.edu/sites/default/files/mansfield_pd_station_pointe_2020.pdf,Submission,pdf,42.0326877,-71.1953683,"500 East St, Mansfield, MA 02048, USA",ChIJtaxFW0Ji5IkRZhcEiVP3TrI,"establishment,point_of_interest,police",500,East Street,Mansfield,,Massachusetts,Bristol County,United States,2048
Marietta Police Department,"Georgia, USA",MSTAR: Marietta Strategically Targeting Areas with Resources,2003,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2003/03-22.pdf,Submission,pdf,33.9550292,-84.545168,"240 Lemon St NE, Marietta, GA 30060, USA",ChIJOUcyLz0U9YgRwdNb4GeWxXY,"establishment,point_of_interest,police",240,Lemon Street NE,Marietta,,Georgia,Cobb County,United States,30060
